Bubble Sort,Sorted list,1024,0.337853988012
Bubble Sort,Sorted rep. list,1024,0.564715067546
Insertion Sort,Random list,1024,0.134752670924
Insertion Sort,Repetitions list,1024,0.13255572319
Insertion Sort,Sorted list,1024,0.134436368942
Insertion Sort,Sorted rep. list,1024,0.132075548172
Qick Sort,Random list,1024,0.153312365214
Qick Sort,Repetitions list,1024,0.146908442179
Qick Sort,Sorted list,1024,0.153532028198
Qick Sort,Sorted rep. list,1024,0.146477381388
Qick Sort (RP),Random list,1024,0.0863329569499
Qick Sort (RP),Repetitions list,1024,0.0947876771291
Qick Sort (RP),Sorted list,1024,0.0825910568237
Qick Sort (RP),Sorted rep. list,1024,0.120179573695
Bubble Sort,Random list,1152,0.429085016251
Bubble Sort,Repetitions list,1152,0.718442042669
Bubble Sort,Sorted list,1152,0.430289506912
Bubble Sort,Sorted rep. list,1152,0.715249697367
Insertion Sort,Random list,1152,0.169940471649
Insertion Sort,Repetitions list,1152,0.167510668437
Insertion Sort,Sorted list,1152,0.169955730438
Insertion Sort,Sorted rep. list,1152,0.167241334915
Qick Sort,Random list,1152,0.190263032913
Qick Sort,Repetitions list,1152,0.178287029266
Qick Sort,Sorted list,1152,0.185981114705
Qick Sort,Sorted rep. list,1152,0.17861533165
Qick Sort (RP),Random list,1152,0.101017395655
Qick Sort (RP),Repetitions list,1152,0.131000677745
Qick Sort (RP),Sorted list,1152,0.0998016993205
Qick Sort (RP),Sorted rep. list,1152,0.137032588323
Bubble Sort,Random list,1280,0.528273026148
Bubble Sort,Repetitions list,1280,0.885463635127
Bubble Sort,Sorted list,1280,0.527877648671
Bubble Sort,Sorted rep. list,1280,0.888630072276
Insertion Sort,Random list,1280,0.209457953771
Insertion Sort,Repetitions list,1280,0.206264257431
Insertion Sort,Sorted list,1280,0.210690975189
Insertion Sort,Sorted rep. list,1280,0.212085008621
Qick Sort,Random list,1280,0.341454267502
Qick Sort,Repetitions list,1280,0.21309932073
Qick Sort,Sorted list,1280,0.226566314697
Qick Sort,Sorted rep. list,1280,0.210340102514
Qick Sort (RP),Random list,1280,0.199076334635
Qick Sort (RP),Repetitions list,1280,0.130106290181
Qick Sort (RP),Sorted list,1280,0.130966663361
Qick Sort (RP),Sorted rep. list,1280,0.162977298101
Bubble Sort,Random list,1408,0.649399995804
Bubble Sort,Repetitions list,1408,1.07707826296
